,sample,corr_alk mol/kg
145,AMS_TFCP3_D04_POST1_20190705,2230.193496
146,AMS_TFCP3_D04_POST3_20190707,2252.949032
147,AMS_TFCP3_D04_POST5_20190709,2249.958592
148,AMS_TFCP3_D04_PRE0_20190704,2225.410806
149,AMS_TFCP3_D04_PRE2_20190706,2239.235298
150,AMS_TFCP3_D04_PRE4_20190708,2262.333173
151,AMS_TFCP3_D05_POST1_20190705,2251.438709
152,AMS_TFCP3_D05_POST3_20190707,2272.633577
153,AMS_TFCP3_D05_POST5_20190709,2265.384026
154,AMS_TFCP3_D05_PRE0_20190704,2240.705345
155,AMS_TFCP3_D05_PRE2_20190706,2269.089352
156,AMS_TFCP3_D05_PRE4_20190708,2257.49007
157,AMS_TFCP3_D06_POST1_20190705,2236.083757
158,AMS_TFCP3_D06_POST3_20190707,2257.993511
159,AMS_TFCP3_D06_POST5_20190709,2253.291372
160,AMS_TFCP3_D06_PRE0_20190704,2227.505121
161,AMS_TFCP3_D06_PRE2_20190706,2251.720636
162,AMS_TFCP3_D06_PRE4_20190708,2250.713753
163,AMS_TFCP3_D07_POST1_20190705,2285.420979
164,AMS_TFCP3_D07_POST3_20190707,2311.428744
165,AMS_TFCP3_D07_POST5_20190709,2297.785491
166,AMS_TFCP3_D07_PRE0_20190704,2235.660866
167,AMS_TFCP3_D07_PRE2_20190706,2255.204448
168,AMS_TFCP3_D07_PRE4_20190708,2256.593945
169,AMS_TFCP3_E22_POST1_20190705,2260.641611
170,AMS_TFCP3_E22_POST3_20190707,2276.560417
171,AMS_TFCP3_E22_POST5_20190709,2277.255165
172,AMS_TFCP3_E22_PRE0_20190704,2235.741417
173,AMS_TFCP3_E22_PRE2_20190706,2265.68609
174,AMS_TFCP3_E22_PRE4_20190708,2252.093182
175,AMS_TFCP3_E23_POST1_20190705,2349.448612
176,AMS_TFCP3_E23_POST3_20190707,2365.588932
177,AMS_TFCP3_E23_POST5_20190709,2340.32626
178,AMS_TFCP3_E23_PRE0_20190704,2284.152308
179,AMS_TFCP3_E23_PRE2_20190706,2299.366296
180,AMS_TFCP3_E23_PRE4_20190708,2277.839157
181,AMS_TFCP3_E24_POST1_20190705,2206.189427
182,AMS_TFCP3_E24_POST3_20190707,2248.035447
183,AMS_TFCP3_E24_POST5_20190709,2157.516747
184,AMS_TFCP3_E24_PRE0_20190704,2208.404568
185,AMS_TFCP3_E24_PRE2_20190706,2249.092673
186,AMS_TFCP3_E24_PRE4_20190708,2258.647984
187,AMS_TFCP3_E25_POST1_20190705,2246.81712
188,AMS_TFCP3_E25_POST3_20190707,2260.722161
189,AMS_TFCP3_E25_POST5_20190709,2242.417045
190,AMS_TFCP3_E25_PRE0_20190704,2243.444065
191,AMS_TFCP3_E25_PRE2_20190706,2267.579029
192,AMS_TFCP3_E25_PRE4_20190708,2255.889127
193,AMS_TFCP3_E26_POST1_20190705,2223.799795
194,AMS_TFCP3_E26_POST3_20190707,2249.324256
195,AMS_TFCP3_E26_POST5_20190709,2255.35548
196,AMS_TFCP3_E26_PRE0_20190704,2224.232754
197,AMS_TFCP3_E26_PRE2_20190706,2220.76908
198,AMS_TFCP3_E26_PRE4_20190708,2242.658697
199,AMS_TFCP3_E27_POST1_20190705,2241.319543
200,AMS_TFCP3_E27_POST3_20190707,1891.105813
201,AMS_TFCP3_E27_POST5_20190709,2267.166207
202,AMS_TFCP3_E27_PRE0_20190704,2182.124945
203,AMS_TFCP3_E27_PRE2_20190706,2260.430166
204,AMS_TFCP3_E27_PRE4_20190708,2264.024735
205,AMS_TFCP3_E28_POST1_20190705,2294.301679
206,AMS_TFCP3_E28_POST3_20190707,2309.898283
207,AMS_TFCP3_E28_POST5_20190709,2311.328056
208,AMS_TFCP3_E28_PRE0_20190704,2252.495935
209,AMS_TFCP3_E28_PRE2_20190706,2271.828071
210,AMS_TFCP3_E28_PRE4_20190708,2264.628864
211,CRM_Batch180_20190710,2224.201052
212,CRM_DICKSON_180_20190711,2222.141542
213,CRM_DICKSON_180_20190713,2223.991103
214,DC_20190710,2246.172513
215,DC_20190711,2249.146246
216,DC_20190712,2249.708844
217,DC_20190713,2237.453116
218,DC_20190714,2242.92552
219,JUNK,2247.458452
